,행정동코드,총생활인구수,10대 생활인구 수,20대 생활인구 수,30대 생활인구 수,40대 생활인구 수,50대 생활인구 수,60대 생활인구 수,65세 이상 생활인구 수,낮시간대 생활인구,퇴근시간 생활인구,21-2,출근시간 생활인구
42,11170640,126347833.3924,8041615.7236,13448529.572,22234957.401300002,21331829.5205,19285376.5561,33167607.1949,23662386.8358,38341384.1288,15668177.7022,55691839.5984,16646431.963
43,11170650,207831276.7724,8773209.509,48515164.5941,46403009.328600004,34081935.6655,27640192.880400002,37053983.8384,26323305.8704,73817910.679,30594176.5183,79965233.8041,23453955.771
44,11170660,196522100.3629,9854555.368900001,32621658.5213,48027933.3026,37374472.1949,23915754.085500002,37486473.323,27582436.7868,61188600.8658,24011883.8896,86803982.7008,24517632.9067
45,11170685,552486292.9903,24367474.347000003,92602711.6958,136569052.61040002,105401124.9174,75996339.2026,93938364.0399,66503768.745400004,215500589.3209,76321486.3845,192142343.7584,68521873.5265
46,11170690,280648693.3412,25575844.4398,33678735.51359999,43239143.09909999,53586092.5401,47118130.4405,61121524.6759,43869776.6166,100616595.1149,34543233.5024,108663063.1068,36825801.6171
47,11170700,188981708.5937,12256508.8462,29218565.948000003,36881055.94850001,34400896.4596,29213805.1818,40311807.7868,28730711.0801,56512533.4706,22174267.7443,86414241.5533,23880665.8255
48,11200520,256277868.0573,20464921.8843,38188658.6483,46977511.398399994,41182897.820099995,37380561.2607,54932893.142000005,39003684.3534,73439027.5919,31855084.616,119720873.2368,31262882.6126
49,11200535,519110064.5456,32956042.4105,85693065.56830001,95273679.4263,83143597.56220001,76536101.2107,99044955.9892,69158183.8039,165557190.8433,64188254.6814,224612364.7518,64752254.2691
50,11200540,386723506.8965,29858324.0752,66386055.218399994,61946073.8038,58822406.5176,58579266.3732,89357221.9781,64341783.9139,126116180.6645,46118909.1674,162308184.9969,52180232.0677
51,11200550,405085277.297,41022613.709800005,155461829.9329,56227578.3394,43840374.653400004,39082279.438099995,54637000.440699995,38782677.2703,153338659.4968,52702414.0606,146784154.853,52260048.8866
52,11200560,335688493.4981,30248947.8514,66210064.8944,57948259.116799995,53971200.0295,47518091.8811,61741914.882,43268188.7694,123541115.1164,51181466.4641,121202493.4314,39763418.4862
53,11200570,354826402.2763,36264367.1594,37970925.6818,57444444.1868,61175847.8053,49460635.8289,80972853.15450001,59840183.345699996,98738837.7622,42944339.8259,169219478.1457,43923746.5425
54,11200580,192865612.8392,19806014.6484,18623259.285099998,30517120.2536,34017708.629200004,28414465.2746,44197202.3266,32595834.5766,52104161.9955,21737078.4361,94218601.0216,24805771.386
55,11200590,274455025.1585,24311292.9932,26196554.496600002,50516178.2958,50669414.9806,37643644.0551,62964629.3373,44747706.2313,81897115.8377,35038484.8185,123630136.8911,33889287.6112
56,11200615,357386923.9867,28533958.0726,37358523.7535,60252828.483500004,59374957.2985,52722855.1589,84934669.93450001,62754580.8803,101563955.0601,44485774.5138,167943911.4975,43393282.9153
57,11200620,222709191.9641,13887062.0599,20887526.8699,41739906.3649,39719706.9612,31924828.089900002,53807965.8201,39433645.0358,69335580.659,28793540.1929,97047639.9646,27532431.1476
58,11200645,497596044.8805,31600565.2763,49748428.7227,92962543.7073,91598960.191,66518335.6013,111830220.7172,81359236.9531,156196444.7103,66165962.8229,210352310.9008,64881326.4465
59,11200650,335955158.1637,21500188.3939,56567654.2109,70228401.0788,56603727.2735,52378987.591900006,61352415.6657,39170760.479499996,133574682.6203,43666928.0304,117309087.9927,41404459.5203
60,11200660,358162911.296,21219907.8199,68675791.2487,78940223.2053,62909822.2113,48174928.6378,60096416.0724,40624879.066,148240163.0537,47598300.4706,116765357.0039,45559090.7678
61,11200670,346830500.5268,18927442.8593,53792143.9039,67935191.9059,56844564.868599996,62251069.912300006,69038084.242,43647993.9555,127076067.7718,42019488.9915,134300114.0664,43434829.6971
62,11200690,577043684.4785,21896604.445100002,127338480.2644,134731565.81759998,103670457.2399,83965196.1685,84308008.024,53702550.2505,274812744.9106,70242826.4131,154391798.5159,77596314.6389
63,11200720,189151003.9851,9751034.454599999,39613185.736,36048270.568,31090433.3252,28745345.463800002,36532857.081300005,25185365.5778,59790338.5596,20762805.6008,83137467.0978,25460392.7269
64,11200790,349593344.5327,21529768.075900003,64886430.3114,59646802.478599995,58320777.2007,56952771.1092,76072121.7071,53011779.6048,120792537.1179,45305394.4626,137653902.4666,45841510.4856
65,11215710,652387754.2036,45251753.1946,274486947.2439,112202745.87799999,69235242.75310001,59647372.2607,75845805.0669,52797523.896,221124622.8552,94186018.9103,260921376.9506,76155735.4875
66,11215730,343679872.4314,21749382.319700003,98778577.15799999,66528931.83669999,46048407.9282,41069816.842199996,56467938.8677,39617244.4574,116875396.989,44748764.8601,139563461.0614,42492249.5209
67,11215740,270830833.9528,14264776.0232,46179422.452199996,53153687.1734,41647263.9664,41906267.073300004,57746147.6486,39391789.353300005,83532616.6371,34445488.8952,119416479.3429,33436249.0776
