정류장_ID,위도,경도,버스도착정보안내기_설치_여부,구이름,행정동
104000169,127.078145,37.563555,설치   ,광진구,중곡1동
104000168,127.074751,37.533551,설치   ,광진구,자양3동
104000167,127.088262,37.554799,설치   ,광진구,중곡2동
104000165,127.090508,37.550867,설치   ,광진구,구의2동
104000164,127.092452,37.548948,미설치  ,광진구,구의2동
104000163,127.093572,37.54906,미설치  ,광진구,구의2동
104000162,127.076153,37.554899,설치   ,광진구,군자동
104000161,127.077546,37.556079,미설치  ,광진구,군자동
104000160,127.07882,37.556322,설치   ,광진구,군자동
104000159,127.076993,37.552874,설치   ,광진구,군자동
104000158,127.07544,37.549752,설치   ,광진구,군자동
104000157,127.071362,37.548015,설치   ,광진구,군자동
104000155,127.070521,37.548761,설치   ,광진구,군자동
104000154,127.070755,37.548692,설치   ,광진구,군자동
104000153,127.071088,37.551357,설치   ,광진구,군자동
104000152,127.071323,37.551851,설치   ,광진구,군자동
104000151,127.074255,37.553771,설치   ,광진구,군자동
104000150,127.07324,37.553426,설치   ,광진구,군자동
104000149,127.075323,37.554647,설치   ,광진구,군자동
104000148,127.075287,37.554976,설치   ,광진구,군자동
104000147,127.076033,37.556161,설치   ,광진구,군자동
104000146,127.076559,37.557156,설치   ,광진구,군자동
104000145,127.076709,37.557709,설치   ,광진구,군자동
104000144,127.072788,37.557411,미설치  ,광진구,군자동
104000143,127.07125,37.554597,설치   ,광진구,군자동
104000142,127.069598,37.551704,설치   ,광진구,군자동
104000141,127.073588,37.545904,미설치  ,광진구,화양동
104000139,127.071264,37.540981,미설치  ,광진구,화양동
104000138,127.075246,37.546695,미설치  ,광진구,화양동
104000137,127.068167,37.540896,설치   ,광진구,화양동
104000136,127.070908,37.540974,설치   ,광진구,화양동
104000135,127.072222,37.543765,설치   ,광진구,화양동
104000134,127.073628,37.546622,설치   ,광진구,화양동
104000133,127.071152,37.547778,설치   ,광진구,화양동
104000132,127.067089,37.547232,설치   ,광진구,화양동
104000131,127.064777,37.543159,설치   ,광진구,화양동
104000130,127.067497,37.533632,설치   ,광진구,자양4동
104000129,127.067995,37.53351,미설치  ,광진구,자양3동
104000128,127.062899,37.536607,설치   ,광진구,자양4동
104000127,127.061162,37.536568,설치   ,광진구,자양4동
104000126,127.062945,37.536806,설치   ,광진구,자양4동
104000125,127.069926,37.538919,설치   ,광진구,자양4동
104000124,127.067279,37.540827,설치   ,광진구,자양4동
104000123,127.062691,37.539503,설치   ,광진구,자양4동
104000122,127.067313,37.535664,설치   ,광진구,자양4동
104000121,127.068967,37.536419,설치   ,광진구,자양3동
104000120,127.07136,37.534316,설치   ,광진구,자양3동
104000119,127.071171,37.534579,미설치  ,광진구,자양3동
104000118,127.073407,37.533947,미설치  ,광진구,자양3동
104000117,127.073518,37.533686,미설치  ,광진구,자양3동
104000116,127.074922,37.530768,미설치  ,광진구,자양3동
104000112,127.074875,37.538446,설치   ,광진구,자양3동
104000111,127.070169,37.538565,미설치  ,광진구,자양3동
104000110,127.069025,37.536077,미설치  ,광진구,자양3동
104000109,127.068947,37.535234,미설치  ,광진구,자양3동
104000108,127.069288,37.534912,미설치  ,광진구,자양3동
104000107,127.066875,37.535572,설치   ,광진구,자양4동
104000106,127.088289,37.537519,설치   ,광진구,자양2동
104000101,127.085851,37.53212,미설치  ,광진구,자양2동
104000100,127.084673,37.531973,미설치  ,광진구,자양2동
104000098,127.080739,37.531531,설치   ,광진구,자양2동
